source	target	weight
d1rh6a_	d2c35a1	3.2643571
d1rh6a_	d1wu7a1	2.0264149
d1rh6a_	d2cdqa1	3.054264
d1rh6a_	d1ut3a_	2.0256095
d1rh6a_	d1yb0a1	2.6376348
d1rh6a_	d1wuua2	2.2277755
d1rh6a_	d2csba1	2.8452706
d1rh6a_	d2wnha_	3.2643571
d1rh6a_	d2xhia2	3.2643571
d1rh6a_	d1v96a1	2.2277755
d1rh6a_	d2w01a_	2.2277755
d1rh6a_	d1xbia1	2.2277755
d1rh6a_	d1ynfa1	2.0264149
d1rh6a_	d1w8ia_	2.4316737
d1rh6a_	d3jr7a_	2.8452706
d1rh6a_	d1t3ta5	2.0264149
d1rh6a_	d1xg7a_	2.0264149
d1rh6a_	d2csba4	2.8452706
d1rh6a_	d3d06a_	2.0264149
d1rh6a_	d1ynpa_	2.0264149
d1rh6a_	d2oiea1	2.0264149
d1rh6a_	d3bzka2	2.4316737
d1rh6a_	d3nyia_	3.054264
d1rh6a_	d3v0sa1	2.0264149
d1rh6a_	d2cxha1	2.2277755
d1rh6a_	d2v0na3	2.4316737
d1rh6a_	d1yk9a_	2.0264149
d1rh6a_	d1t92a_	2.8452706
d1rh6a_	d2vd3a2	2.6376348
d1rh6a_	d2b94a_	2.8452706
d1rh6a_	d3p0ta_	2.0264149
d1rh6a_	d1xkpc1	2.0264149
d1rh6a_	d1w6ga2	2.0264149
d1rh6a_	d3hn3a2	2.2277755
d1rh6a_	d2csba2	2.2277755
d1rh6a_	d1ueka2	2.2277755
d1rh6a_	d3l0ga1	2.2277755
d1rh6a_	d1x2ia1	3.054264
d1rh6a_	d2csba3	4.1120837
d1rh6a_	d2rd5a_	2.6376348
d1rh6a_	d2wkxa2	2.2277755
d1rh6a_	d1zwza1	2.0264149
d1rh6a_	d1tvca2	2.4316737
d1rh6a_	d2wz1a_	2.0264149
d1rh6a_	d1wuda1	2.8452706
d1rh6a_	d2erwa1	2.2729014
d1rh6a_	d4f6ta_	2.2277755
d1rh6a_	d2qjla_	2.6376348
d1rh6a_	d3lupa_	2.4316737
d1rh6a_	d2va1a_	2.8452706
d1rh6a_	d1tgsi_	2.2277755
d1rh6a_	d1z84a2	2.0264149
d1rh6a_	d3rdra_	2.0264149
d1rh6a_	d1vdwa_	2.0264149
d1rh6a_	d2duya1	2.8452706
d1rh6a_	d2e5fa_	2.0264149
d1rh6a_	d2i5ia1	2.2277755
d1rh6a_	d2hbja1	2.0264149
d1rh6a_	d2hfva1	3.054264
d1rh6a_	d1xpaa1	2.0264149
d1rh6a_	d3bzka1	2.2277755
d1rh6a_	d1tnsa_	7.1104186
d1rh6a_	d3d31a1	2.0264149
d1rh6a_	d2o8ra4	2.0264149
d1rh6a_	d1zcca1	2.6376348
d1rh6a_	d3zzha_	2.8452706
d1rh6a_	d1x6za_	2.0264149
d1rh6a_	d2edua1	2.6376348
d1rh6a_	d2dt8a_	2.4316737
d1rh6a_	d1wc1a_	2.0264149
d1rh6a_	d3dssb_	2.0264149
d1rh6a_	d2a1jb1	2.8452706
d1rh6a_	d2e1fa_	2.8452706
d1rh6a_	d2g7za_	2.0264149
d1rh6a_	d2qi2a3	3.054264
d1rh6a_	d3n2ta_	2.0264149
d1rh6a_	d2bo9b2	2.0264149
d1rh6a_	d3fhva_	3.8993284
d1rh6a_	d2hi1a_	2.8452706
d1rh6a_	d2cu3a1	2.2277755
d1rh6a_	d2ozga1	2.8452706
d1rh6a_	d1zxta_	2.4316737
d1rh6a_	d1u0bb1	2.0264149
d1rh6a_	d2vgna3	2.4316737
d2voaa_	d2zkmx4	2.5797092
d2voaa_	d3eera_	2.0361084
d2voaa_	d2wy8a_	2.4524525
d2voaa_	d3d01a_	3.5459227
d2voaa_	d3o1ca_	3.0772621
d2voaa_	d3lhea_	3.4582924
d2voaa_	d3uvka_	2.0757422
d2voaa_	d3qvqa_	4.9820015
d2voaa_	d2xbla_	3.6577172
d2voaa_	d4hwwa_	2.0757422
d2voaa_	d3iwta_	3.168889
d2voaa_	d2vzsa3	2.8972946
d2voaa_	d3ddoa_	2.4050091
d2voaa_	d3gaxa_	2.5074464
d2voaa_	d2yvaa_	4.6741047
d2voaa_	d3tq5a_	2.1144805
d2voaa_	d3orya1	2.0792342
d2voaa_	d3bvua3	3.094736
d2voaa_	d3vmka_	2.7076434
d2voaa_	d4e4ra_	4.9341001
d2voaa_	d3d31a1	3.0275717
d2voaa_	d3ivra_	2.0757422
d2voaa_	d4affa_	3.142879
d2voaa_	d4fuqa_	2.8361728
d2voaa_	d3dc7a1	2.5839039
d2voaa_	d3l0ga1	2.0330414
d2voaa_	d2y28a_	2.3362856
d2voaa_	d3c9ua1	3.3029467
d2voaa_	d3b4ya_	4.8018381
d2voaa_	d3nioa_	3.2246498
d2voaa_	d3aama_	3.4854941
d2voaa_	d3qz6a_	4.4055304
d2voaa_	d3cw9a_	3.7474304
d2voaa_	d3bgea1	2.4543899
d2voaa_	d3wg6a_	5.0664256
d2voaa_	d3lo8a2	2.0884611
d2voaa_	d3sdoa_	2.7076434
d2voaa_	d3ejga_	4.9893443
d2voaa_	d4f1ra_	30.157571
d2voaa_	d2vzsa1	3.142879
d2voaa_	d3pzla_	2.0757422
d2voaa_	d2wz1a_	2.23316
d2voaa_	d3no3a_	2.1572189
d2voaa_	d3fj1a_	2.5797092
d2voaa_	d4ay9b_	2.0126525
d2voaa_	d4eh1a2	6.6921525
d2voaa_	d2xhia2	2.6927178
d2voaa_	d3l60a_	2.7252207
d2voaa_	d3epua_	2.2361973
d2voaa_	d3ew8a_	5.9939318
d2voaa_	d3erpa_	2.965225
d2voaa_	d2w01a_	2.8982072
d2voaa_	d4f6ta_	3.6997249
d2voaa_	d3flka_	2.965225
d2voaa_	d3n2ta_	4.8018381
d2voaa_	d3ni2a_	3.6163431
d2voaa_	d3ntla_	3.6163431
d2voaa_	d3knza_	2.5797092
d2voaa_	d3hp4a_	3.8995182
d2voaa_	d3bwga2	2.9073069
d2voaa_	d3dfea_	2.3169494
d2voaa_	d3t94a_	2.2003565
d2voaa_	d3o83a_	3.4854941
d2voaa_	d4ij5a_	4.2218929
d2voaa_	d3tn2a_	2.9421796
d2voaa_	d4iyja_	3.5234703
d2voaa_	d3zqka_	2.0509116
d2voaa_	d4atya_	2.7076434
d2voaa_	d3mcqa1	4.3729736
d2voaa_	d3ea1a_	2.965225
d2voaa_	d3cdda1	2.5742058
d2voaa_	d3ctka1	2.121805
d2voaa_	d2z1ea1	4.6289505
d2voaa_	d4egua_	2.8750076
d2voaa_	d3t0ja_	2.5797092
d2voaa_	d3b9oa_	3.354917
d2voaa_	d3aala_	7.055308
d2voaa_	d4h4aa_	2.5488962
d2voaa_	d3lg3a_	2.0757422
d2voaa_	d3ucaa_	2.965225
d2voaa_	d4bofa_	2.0757422
d2voaa_	d2yyea1	4.9784728
d2voaa_	d4giea_	4.141846
d2voaa_	d3hvma_	6.3918441
d2voaa_	d3raoa_	4.5375423
d2voaa_	d3bkra_	2.8632939
d2voaa_	d2zfga_	2.3259664
d2voaa_	d3ddva1	2.039575
d2voaa_	d3ejfa_	3.3180374
d2voaa_	d3v4da_	4.1767384
d1aoha_	d3iira_	2.4651
d1aoha_	d3zuca_	8.3190498
d1aoha_	d3gaxa_	2.1759103
d1aoha_	d1pz4a_	2.4392367
d1aoha_	d1f7da_	6.0629471
d1aoha_	d1qfja2	2.69291
d1aoha_	d4a7wa_	2.013599
d1aoha_	d1oeyj_	2.3637197
d1aoha_	d1v0wa1	2.013599
d1aoha_	d1v7pc_	2.013599
d1aoha_	d1e5ba_	4.4301015
d1aoha_	d3t64a_	2.1626781
d1aoha_	d3t94a_	2.926629
d1aoha_	d1kqka_	4.4048999
d1aoha_	d2je8a1	4.3213509
d1aoha_	d1y5ea1	2.013599
d1aoha_	d1nuba3	2.3641725
d1aoha_	d2wnha_	2.7719364
d1aoha_	d4eb2a_	2.1626781
d1aoha_	d2k4xa1	2.6376348
d1aoha_	d2gufa_	2.313249
d1aoha_	d3ci0k3	2.5193463
d1aoha_	d1x6oa1	2.8322171
d1aoha_	d3hzaa_	8.6378227
d1aoha_	d1sxra_	2.1626781
d1aoha_	d1spva_	2.013599
d1aoha_	d1exha_	10.559541
d1aoha_	d1bkra_	2.3297666
d1aoha_	d1wura_	4.0240516
d1aoha_	d1ay2a_	2.4651
d1aoha_	d2gr8a1	4.4792962
d1aoha_	d3gv3a_	4.0982706
d1aoha_	d1xbia1	2.5810326
d1aoha_	d2ra4a_	2.2245658
d1aoha_	d1rjta_	2.4615776
d1aoha_	d1vk3a3	3.2379787
d1aoha_	d2j0161	2.5111297
d1aoha_	d2z1ea1	2.6036899
d1aoha_	d1v0ea1	2.313249
d1aoha_	d1twfi1	2.1603852
d1aoha_	d1cpza_	4.5284737
d1aoha_	d2slia2	2.6180483
d1aoha_	d1jz8a1	4.2714201
d1aoha_	d2akoa1	2.926629
d1aoha_	d3epua_	3.1774404
d1aoha_	d1fdra2	3.5513521
d1aoha_	d1g2oa_	3.3944506
d1aoha_	d2fug31	2.347058
d1aoha_	d1ufya_	2.5162908
d1aoha_	d1so7a_	2.313249
