Source Target Weight
5988 5733 7
5988 5745 5
5988 5746 1
5988 6343 5
5988 5989 81
5988 6345 44
5988 6003 720
5988 6431 44
5988 6430 147
5988 5700 22
5988 5987 120
5988 6439 110
5988 6204 400
5988 6205 34
5988 6369 44
5988 6203 426
5988 6190 30
5988 6189 95
5988 6004 1
5988 5973 35
5988 5731 1
5988 6440 94
5988 5732 267
5988 6002 5
5988 5698 23
5988 6344 110
5988 6356 62
5988 6357 148
5988 6421 44
5988 6017 3
5988 6016 126
5988 5717 244
5988 5716 45
5988 5715 42
5988 6429 38
5988 6358 44
5988 6217 297
5988 6216 3
5988 6330 110
5988 6331 44
5988 6370 44
5988 5972 292
5988 5971 43
5988 5699 70
5988 6218 88
5989 6028 14
5989 5746 134
5989 6017 275
5989 5718 6
5989 5717 71
5989 6016 132
5989 6004 392
5989 6204 143
5989 6205 30
5989 5745 12
5989 5733 187
5989 5732 142
5989 5973 37
5989 6218 388
5989 6219 37
5989 6003 222
5982 5983 2
5982 6213 1
5982 6227 1
5982 6228 1
5982 5999 7
5982 5998 7
5983 5728 21
5983 6015 4
5983 6014 200
5983 6000 105
5983 5712 1
5983 5711 12
5983 6214 142
5983 5984 27
5983 6240 41
5983 6228 125
5983 5999 335
5983 5998 32
5983 6227 5
5980 5981 1
5980 5708 87
5980 5672 1
5980 5707 6
5980 5690 139
5980 5995 36
5980 5979 153
5980 5996 71
5980 5689 127
5980 6211 2
5980 5961 28
5980 5962 115
5981 4215 73
5981 5011 86
5981 5012 1
5981 5708 59
5981 5709 90
5981 5028 27
5981 5376 86
5981 5690 2
5981 5029 86
5981 5997 50
5981 5691 32
5981 5996 6
5981 4634 85
5981 4635 51
5981 5377 40
5986 5952 10
5986 5987 2
5986 5970 13
5987 6189 11
5987 6157 5
5987 6142 1
5987 5698 26
5987 6329 5
5987 6343 1
5987 6345 16
5987 6344 21
5987 6431 16
5987 6430 37
5987 6439 21
5987 6204 70
5987 6205 15
5987 6369 16
5987 6202 26
5987 6203 88
5987 6316 1
5987 6303 1
5987 6188 6
5987 6440 33
5987 5732 59
5987 6158 6
5987 6002 162
5987 6174 1
5987 6173 6
5987 6003 207
5987 6356 3
5987 6357 36
5987 5953 6
5987 6421 16
5987 5717 62
5987 5716 25
5987 5715 32
5987 6429 2
5987 6358 16
5987 6217 8
5987 6216 22
5987 6190 13
5987 6331 16
5987 6330 21
5987 6370 16
5987 5972 168
5987 5971 305
5987 5699 77
5984 5728 9
5984 6015 8
5984 6014 21
5984 6000 203
5984 5930 135
5984 5712 2
5984 5711 2
5984 5949 13
5984 6186 42
5984 6215 35
5984 5948 165
5984 5694 64
5984 5677 3
5984 5985 110
5984 5999 10
5984 5966 284
5984 5967 57
5985 6000 37
5985 6001 13
5985 5930 22
5985 5713 3
5985 5712 8
5985 5949 28
5985 5948 41
5985 5694 96
5985 5695 81
5985 5677 56
5985 5966 50
5985 5967 146
2147 2594 109
2147 2595 10
2147 2578 146
2147 2130 685
2147 2131 295
2147 2563 32
2147 2562 51
2147 1736 34
2147 1692 22
2147 1691 74
2147 2178 135
2147 1677 9
2147 2115 368
2147 2116 189
2147 1676 124
2147 1705 182
2147 1706 325
2147 1707 152
2147 2577 190
2147 1722 166
2147 1720 134
2147 1721 284
2147 2146 645
2147 2145 283
2147 2164 15
2147 2162 228
2147 2161 237
2147 2163 70
2147 2148 101
270 319 82
270 318 1933
270 595 291
270 1187 16
270 156 4
270 555 1
270 554 24
270 861 194
270 556 1
270 317 641
270 316 11
270 553 88
270 552 386
270 115 6
270 114 108
270 129 57
270 142 98
270 86 1052
270 100 1
270 254 1639
270 255 1417
270 797 68
270 537 144
270 831 177
270 834 18
270 473 87
270 536 190
270 1617 55
270 874 248
270 596 782
270 873 75
270 346 478
270 347 226
270 520 436
270 334 71
270 128 66
270 85 1878
270 502 69
270 503 98
270 287 906
270 286 2540
270 568 727
270 832 124
270 582 747
270 143 23
270 1171 73
270 141 59
270 331 37
270 301 15
270 303 472
270 567 386
270 99 900
270 98 157
270 333 929
270 243 78
270 487 113
270 486 115
270 269 589
270 332 1073
270 1202 55
270 847 164
270 846 18
270 569 267
270 833 24
270 2043 48
270 271 388
270 302 2021
270 814 117
270 1603 55
270 815 60
270 357 43
270 356 32
270 583 666
270 816 68
270 474 16
270 860 110
270 817 13
270 519 182
270 285 4
271 797 1
271 243 78
271 473 119
271 244 122
271 272 21
271 520 246
271 254 389
271 474 80
271 488 2
271 487 102
271 486 52
271 100 7
271 256 331
271 503 164
271 287 319
271 255 674
272 273 15
272 100 4
272 101 72
272 256 9
272 257 30
273 101 18
277 467 2
277 261 55
277 263 73
