Source	Target	Weights
gi15801179	gi16129025	323.3062153431158
gi15801179	gi24112473	323.3062153431158
gi15801179	gi1651519	323.3062153431158
gi15801179	gi16764519	323.3062153431158
gi15801179	gi16760039	323.3062153431158
gi15801179	gi279570	323.3062153431158
gi15801179	gi1346930	3.0969100130080562
gi15801179	gi16078614	3.0
gi15801179	gi3122654	3.0
gi15801179	gi3024509	1.537602002101044
gi15801179	gi21294381	0.8538719643217619
gi15801179	gi400909	0.8239087409443188
gi15801179	gi279582	0.8239087409443188
gi15801179	gi7331	0.8239087409443188
gi15801179	gi14192678	0.0
gi15801179	gi21362600	0.0
gi15801179	gi2501620	0.0
gi15801179	gi3122248	0.0
gi15801179	gi22988246	0.0
gi15801179	gi3688063	0.0
gi15801179	gi2501623	0.0
gi15801179	gi1246354	0.0
gi15801179	gi16766629	0.0
gi15801179	gi16128322	0.0
gi15801179	gi1657533	0.0
gi15801179	gi18478562	0.0
gi15801179	gi15800066	0.0
gi15801179	gi23502230	0.0
gi15801179	gi16120505	0.0
gi15801179	gi16762096	0.0
gi15801179	gi17986930	0.0
gi15801179	gi3182927	0.0
gi15801179	gi22218649	0.0
gi15801179	gi9931313	0.0
gi15801179	gi3122243	0.0
gi15801179	gi131696	0.0
gi15801179	gi191173	0.0
gi15801179	gi2506025	0.0
gi15801179	gi191364	0.0
gi9967069	gi13357995	323.3062153431158
gi9967069	gi7272374	323.3062153431158
gi9967069	gi19856524	323.3062153431158
gi9967069	gi914897	323.3062153431158
gi9967069	gi15925280	323.3062153431158
gi9967069	gi1174887	323.3062153431158
gi9967069	gi2501623	180.0
gi9967069	gi7245484	178.69897000433602
gi9967069	gi14278353	178.39794000867204
gi9967069	gi15612817	177.69897000433602
gi9967069	gi23020534	177.22184874961636
gi9967069	gi16080717	176.0
gi9967069	gi586164	175.22184874961636
gi9967069	gi2507522	174.69897000433602
gi9967069	gi23000615	174.0
gi9967069	gi731075	173.52287874528034
gi9967069	gi23027998	173.39794000867204
gi9967069	gi22988607	173.0
gi9967069	gi10336584	172.0
gi9967069	gi7320802	171.22184874961636
gi9967069	gi3915207	171.09691001300806
gi9967069	gi137070	171.09691001300806
gi9967069	gi137073	171.04575749056067
gi9967069	gi137074	170.69897000433602
gi9967069	gi13959023	170.69897000433602
gi9967069	gi227457	170.69897000433602
gi9967069	gi2624847	170.39794000867204
gi9967069	gi16974911	170.39794000867204
gi9967069	gi19338960	170.39794000867204
gi9967069	gi15800666	170.30102999566398
gi9967069	gi23136289	170.22184874961636
gi9967069	gi5913962	170.09691001300806
gi9967069	gi15611138	170.09691001300806
gi9967069	gi14579320	170.09691001300806
gi9967069	gi43635	170.09691001300806
gi9967069	gi23501177	170.09691001300806
gi9967069	gi7245287	170.04575749056067
gi9967069	gi17987935	169.69897000433602
gi9967069	gi16974909	169.69897000433602
gi9967069	gi19070377	169.69897000433602
gi9967069	gi13605430	169.39794000867204
gi9967069	gi12313641	169.09691001300806
gi9967069	gi16329675	169.0
gi9967069	gi17231162	169.0
gi9967069	gi15966223	168.69897000433602
gi9967069	gi23039910	168.69897000433602
gi9967069	gi14599161	168.39794000867204
gi9967069	gi1073151	168.39794000867204
gi9967069	gi14599415	168.22184874961636
gi9967069	gi23126033	168.22184874961636
gi9967069	gi14599435	168.15490195998575
gi9967069	gi3659633	168.09691001300806
gi9967069	gi1174891	167.69897000433602
gi9967069	gi14599413	167.69897000433602
gi9967069	gi586167	167.69897000433602
gi9967069	gi4249601	167.52287874528034
gi9967069	gi15807978	167.52287874528034
gi9967069	gi13474128	167.30102999566398
gi9967069	gi22976226	167.15490195998575
gi9967069	gi2340847	167.0
gi9967069	gi23058236	166.69897000433602
gi9967069	gi7839375	166.69897000433602
gi9967069	gi16272483	166.52287874528034
gi9967069	gi15889672	166.39794000867204
gi9967069	gi22297549	166.39794000867204
gi9967069	gi2708800	165.69897000433602
gi9967069	gi23101955	165.52287874528034
gi9967069	gi19310948	165.30102999566398
gi9967069	gi137071	164.0
gi9967069	gi4545295	164.0
gi9967069	gi15220459	163.15490195998575
gi9967069	gi17402589	163.15490195998575
gi9967069	gi17546751	163.04575749056067
gi9967069	gi465008	162.04575749056067
gi9967069	gi225714	162.0
gi9967069	gi224797	162.0
gi9967069	gi15600061	162.0
gi9967069	gi167228	161.22184874961636
gi9967069	gi14192678	160.52287874528034
gi9967069	gi15608987	159.69897000433602
gi9967069	gi6633958	159.52287874528034
gi9967069	gi16122873	158.22184874961636
gi9967069	gi3688063	158.22184874961636
gi9967069	gi1718044	158.0
gi9967069	gi1174889	157.69897000433602
gi9967069	gi886331	157.52287874528034
gi9967069	gi21219743	156.52287874528034
gi9967069	gi2501620	152.69897000433602
gi9967069	gi421269	150.69897000433602
gi9967069	gi22125140	150.30102999566398
gi9967069	gi22831365	150.22184874961636
gi9967069	gi17986930	146.09691001300806
gi9967069	gi23502230	146.09691001300806
gi9967069	gi21637244	118.0
gi9967069	gi21637179	117.39794000867204
gi9967069	gi21637208	117.15490195998575
gi9967069	gi21637205	115.69897000433602
gi9967069	gi21637192	113.30102999566398
gi9967069	gi21637202	111.15490195998575
gi9967069	gi4033703	1.5086383061657274
gi9967069	gi16080988	1.1804560644581312
gi9967069	gi6226558	1.0132282657337552
gi9967069	gi11890745	1.0
gi9967069	gi8895751	0.8239087409443188
gi9967069	gi15833269	0.7958800173440752
gi9967069	gi15803675	0.769551078621726
gi9967069	gi21362600	0.5086383061657274
gi9967069	gi18478562	0.4089353929735008
gi9967069	gi3122248	0.3565473235138126
gi9967069	gi6753960	0.16749108729376366
gi9967069	gi20270696	0.14266750356873156
gi9967069	gi4758426	0.05551732784983137
gi9967069	gi6330926	0.004364805402450088
gi9967069	gi21730171	0.0
gi9967069	gi11837778	0.0
gi9967069	gi887833	0.0
gi9967069	gi15803420	0.0
gi9967069	gi16130785	0.0
gi9967069	gi15833010	0.0
gi9967069	gi23062845	0.0
gi9967069	gi13929094	0.0
gi9967069	gi7533042	0.0
gi9967069	gi3334230	0.0
gi9967069	gi15595638	0.0
gi9967069	gi22988246	0.0
gi9967069	gi4557311	0.0
gi9967069	gi1346930	0.0
gi9967069	gi3122654	0.0
gi9967069	gi16078614	0.0
gi9967069	gi17432321	0.0
gi9967069	gi16078516	0.0
gi9967069	gi7484807	0.0
gi9967069	gi18404701	0.0
gi9967069	gi24115394	0.0
gi9967069	gi16132149	0.0
gi9967069	gi15804904	0.0
gi9967069	gi3122243	0.0
gi9967069	gi22218649	0.0
gi9967069	gi9931313	0.0
gi9967069	gi6141557	0.0
gi9967069	gi13194736	0.0
gi9967069	gi8509	0.0
gi9967069	gi3915831	0.0
gi9967069	gi22832393	0.0
gi15925280	gi1174887	323.3062153431158
gi15925280	gi586164	323.3062153431158
gi15925280	gi16080717	323.3062153431158
gi15925280	gi16329675	323.3062153431158
gi15925280	gi7320802	323.3062153431158
gi15925280	gi15612817	323.3062153431158
gi15925280	gi10336584	323.3062153431158
gi15925280	gi17231162	323.3062153431158
gi15925280	gi23039910	323.3062153431158
gi15925280	gi23020534	323.3062153431158
gi15925280	gi23000615	323.3062153431158
